# DRD2 direction-pooling subset — one DRD2 (ENSG00000149295) node, both
# directions, multi-indication. Built by scratch/drd2/{pull_ctgov,select}.py.
# Each NCT: <drug> | <direction(ChEMBL action_type)> | <indication(CT.gov cond)>
# | phase | status. Direction is stamped natively at build from the ChEMBL
# mechanism cache (primed via scratch/drd2/mech_cache_primed.json).
#
# 100 trials | agonist=50 antagonist=50 | indications=6

# ── agonist ──
NCT01594749  # haloperidol | antagonist | nausea_vomiting | P3 | COMPLETED | results | Chemotherapy-Induced Nausea and Vomiting
NCT02625181  # haloperidol | antagonist | nausea_vomiting | P? | COMPLETED | results | Postoperative Nausea and Vomiting
NCT03075163  # haloperidol | antagonist | nausea_vomiting | P4 | TERMINATED | results | Vomiting
NCT05065567  # haloperidol | antagonist | nausea_vomiting | P3 | TERMINATED | results | Cyclic Vomiting Syndrome
NCT00475306  # metoclopramide | antagonist | nausea_vomiting | P4 | COMPLETED | results | Nausea
NCT01636947  # metoclopramide | antagonist | nausea_vomiting | P4 | COMPLETED | results | Nausea
NCT02163434  # metoclopramide | antagonist | nausea_vomiting | P2 | COMPLETED | results | Hyperemesis Gravidarum
NCT02959840  # metoclopramide | antagonist | nausea_vomiting | P4 | COMPLETED | results | Nausea
NCT05098067  # metoclopramide | antagonist | nausea_vomiting | P2 | COMPLETED | results | Hyperemesis Gravidarum
NCT02116530  # olanzapine | antagonist | nausea_vomiting | P3 | COMPLETED | results | Hematopoietic/Lymphoid Cancer
NCT02484911  # olanzapine | antagonist | nausea_vomiting | P3 | COMPLETED | results | Chemotherapy-induced Nausea and Vomiting
NCT02939287  # olanzapine | antagonist | nausea_vomiting | P3 | COMPLETED | results | Nausea
NCT04535141  # olanzapine | antagonist | nausea_vomiting | P3 | COMPLETED | results | Chemotherapy-induced Nausea and Vomiting
NCT00475085  # prochlorperazine | antagonist | nausea_vomiting | P3 | COMPLETED | results | Nausea
NCT00590317  # prochlorperazine | antagonist | nausea_vomiting | P2 | COMPLETED | results | Nausea and Vomiting
NCT00711555  # prochlorperazine | antagonist | nausea_vomiting | P2 | COMPLETED | results | Nausea
NCT00044044  # haloperidol | antagonist | schizophrenia | P2 | COMPLETED | results | Schizophrenia
NCT00044655  # haloperidol | antagonist | schizophrenia | P4 | COMPLETED | results | Schizophrenia
NCT00156065  # haloperidol | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00723606  # haloperidol | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00797277  # haloperidol | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT01136772  # haloperidol | antagonist | schizophrenia | P4 | COMPLETED | results | Schizophrenia
NCT01157351  # haloperidol | antagonist | schizophrenia | P4 | COMPLETED | results | Schizophrenia
NCT02431702  # haloperidol | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT04327843  # haloperidol | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00145496  # olanzapine | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00174265  # olanzapine | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00320489  # olanzapine | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00396565  # olanzapine | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00401973  # olanzapine | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00615433  # olanzapine | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00640510  # olanzapine | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00645099  # olanzapine | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00132314  # risperidone | antagonist | schizophrenia | P3 | COMPLETED | results | Schizoaffective Disorder
NCT00216476  # risperidone | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00435370  # risperidone | antagonist | schizophrenia | P3 | COMPLETED | results | Smoking Cessation
NCT00589914  # risperidone | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00600756  # risperidone | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenic Disorders
NCT00604279  # risperidone | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00641745  # risperidone | antagonist | schizophrenia | P3 | COMPLETED | results | Schizophrenia
NCT00660595  # risperidone | antagonist | schizophrenia | P3 | TERMINATED | results | Schizophrenic Disorders
